Date,Clics,Impressions,CTR,Position
2026-02-12,0,4,0%,3.8
2026-02-13,2,2,100%,1
2026-02-14,0,1,0%,1
2026-02-15,0,0,,
2026-02-16,0,1,0%,1
2026-02-17,0,2,0%,1.5
2026-02-18,0,0,,
2026-02-19,0,0,,
2026-02-20,0,1,0%,1
2026-02-21,0,1,0%,1
2026-02-22,0,0,,
2026-02-23,0,0,,
2026-02-24,0,0,,
2026-02-25,0,0,,
2026-02-26,0,0,,
2026-02-27,0,2,0%,1
2026-02-28,0,0,,
2026-03-01,0,1,0%,2
2026-03-02,0,0,,
2026-03-03,0,1,0%,4
2026-03-04,0,0,,
2026-03-05,0,0,,
2026-03-06,0,0,,
2026-03-07,0,1,0%,2
2026-03-08,0,0,,
2026-03-09,0,1,0%,3
2026-03-10,0,0,,
2026-03-11,0,0,,
2026-03-12,0,2,0%,2
2026-03-13,0,1,0%,1
2026-03-14,0,0,,
2026-03-15,1,1,100%,1
2026-03-16,0,1,0%,9
2026-03-17,0,1,0%,2
2026-03-18,0,1,0%,11
2026-03-19,0,0,,
2026-03-20,0,0,,
2026-03-21,0,0,,
2026-03-22,0,1,0%,2
2026-03-23,0,0,,
2026-03-24,0,0,,
2026-03-25,0,0,,
2026-03-26,0,1,0%,5
2026-03-27,0,1,0%,1
2026-03-28,0,3,0%,3
2026-03-29,1,31,3.23%,6.8
2026-03-30,0,58,0%,7.4
2026-03-31,1,56,1.79%,7.2
2026-04-01,0,67,0%,6.8
