Pays,Clics,Impressions,CTR,Position
Maroc,5,20,25%,1.55
États-Unis,0,120,0%,7.32
Inde,0,10,0%,5.6
Brésil,0,7,0%,7.86
Canada,0,7,0%,10.14
Royaume-Uni,0,6,0%,6.67
Égypte,0,5,0%,5.8
France,0,4,0%,4.75
Pays-Bas,0,4,0%,8.75
Ukraine,0,3,0%,4.67
Singapour,0,3,0%,6.33
Nigéria,0,2,0%,1.5
Pologne,0,2,0%,2.5
Pakistan,0,2,0%,3
Argentine,0,2,0%,4.5
Chine,0,2,0%,5.5
Espagne,0,2,0%,6.5
Vietnam,0,2,0%,8
Allemagne,0,2,0%,9.5
Malaisie,0,2,0%,9.5
Corée du Sud,0,2,0%,10
Mexique,0,2,0%,14.5
Bolivie,0,1,0%,1
Suisse,0,1,0%,1
Iran,0,1,0%,1
Italie,0,1,0%,1
Panama,0,1,0%,1
Tchad,0,1,0%,1
Finlande,0,1,0%,2
Guatemala,0,1,0%,2
Arabie Saoudite,0,1,0%,2
Costa Rica,0,1,0%,3
Indonésie,0,1,0%,3
Kenya,0,1,0%,3
Russie,0,1,0%,3
Autriche,0,1,0%,5
Kazakhstan,0,1,0%,5
Trinité-et-Tobago,0,1,0%,5
Azerbaïdjan,0,1,0%,6
Irlande,0,1,0%,6
Togo,0,1,0%,6
Taïwan,0,1,0%,6
Kosovo,0,1,0%,6
République démocratique du Congo,0,1,0%,8
Liberia,0,1,0%,8
Émirats Arabes Unis,0,1,0%,9
Belgique,0,1,0%,9
Croatie,0,1,0%,9
Liban,0,1,0%,9
Slovénie,0,1,0%,9
Thaïlande,0,1,0%,9
Géorgie,0,1,0%,11
Uruguay,0,1,0%,17
Faroe (Îles),0,1,0%,20
